sep=time (source1)	temperature	time (source1)	compass	time (source1)	rotation_pitch	time (source1)	rotation_roll	time (source1)	acceleration_x	time (source1)	acceleration_y	time (source1)	acceleration_z	time (source1)	acceleration_strength
0	21	0	90	0	0	0	0	0	0	0	0	0	-1023	0	1023
0.607	21	0.606	90	0.607	37	0.607	28	0.607	382	0.607	627	0.607	-713	0.607	1023
1.211	21	1.21	90	1.21	4	1.21	2	1.21	52	1.21	86	1.21	-1019	1.21	1023
1.819	21	1.818	90	1.818	0	1.818	0	1.818	0	1.818	0	1.818	-1023	1.818	1023
2.433	21	2.432	90	2.432	0	2.432	0	2.432	0	2.432	0	2.432	-1023	2.432	1023
3.052	21	3.051	90	3.051	0	3.051	0	3.051	0	3.051	0	3.051	-1023	3.051	1023
3.672	21	3.671	90	3.671	0	3.671	0	3.671	0	3.671	0	3.671	-1023	3.671	1023
4.281	21	4.28	90	4.28	0	4.28	0	4.28	0	4.28	0	4.28	-1023	4.28	1023
4.889	21	4.888	90	4.888	0	4.888	0	4.888	0	4.888	0	4.888	-1023	4.888	1023
5.496	21	5.495	90	5.495	0	5.495	0	5.495	0	5.495	0	5.495	-1023	5.495	1023
6.102	21	6.101	90	6.101	0	6.101	0	6.101	0	6.101	0	6.101	-1023	6.101	1023
6.712	21	6.711	90	6.711	0	6.711	0	6.711	0	6.711	0	6.711	-1023	6.711	1023
7.318	21	7.317	90	7.317	27	7.317	38	7.317	561	7.317	472	7.317	-714	7.317	1023
7.925	21	7.924	90	7.924	-31	7.924	7	7.924	109	7.924	-519	7.924	-875	7.924	1023
8.534	21	8.533	90	8.533	28	8.533	123	8.533	1023	8.533	673	8.533	673	8.533	1397
9.14	21	9.139	90	9.139	-5	9.139	37	9.139	625	9.139	-88	9.139	-806	9.139	1023
9.747	21	9.746	90	9.746	-23	9.746	-2	9.746	-27	9.746	-385	9.746	-948	9.746	1023
10.356	21	10.355	182	10.355	-25	10.355	0	10.355	12	10.355	-430	10.355	-929	10.355	1023
10.961	21	10.96	154	10.96	-40	10.96	10	10.96	147	10.96	-649	10.96	-777	10.96	1023
11.566	21	11.565	188	11.565	-10	11.565	14	11.565	250	11.565	-173	11.565	-977	11.565	1023
12.173	21	12.172	188	12.172	-73	12.172	-63	12.172	-272	12.173	-976	12.173	-142	12.173	1023
12.78	21	12.779	272	12.779	-63	12.779	-34	12.779	-259	12.779	-907	12.779	-396	12.779	1023
13.389	21	13.388	226	13.388	-44	13.388	-11	13.388	-140	13.388	-699	13.388	-734	13.388	1023
13.994	21	13.993	42	13.993	-72	13.993	135	13.993	241	13.993	-1023	13.993	241	13.993	1078
14.6	21	14.599	217	14.599	-35	14.599	-13	14.599	-188	14.599	-575	14.599	-825	14.599	1023
15.209	21	15.208	92	15.208	-56	15.208	104	15.208	578	15.208	-858	15.208	154	15.208	1045
15.819	21	15.818	92	15.818	-25	15.818	-15	15.818	-226	15.818	-426	15.818	-903	15.818	1023
16.427	21	16.426	92	16.426	57	16.426	-32	16.426	-287	16.426	863	16.426	-469	16.426	1023
17.036	21	17.035	92	17.035	5	17.035	63	17.035	910	17.035	93	17.035	-459	17.035	1023
17.646	21	17.645	92	17.645	24	17.645	59	17.646	800	17.646	422	17.646	-478	17.646	1023
18.255	21	18.254	92	18.254	-23	18.255	-57	18.255	-792	18.255	-387	18.255	-520	18.255	1023
18.865	21	18.864	92	18.864	25	18.864	-21	18.864	-330	18.864	438	18.864	-864	18.864	1023
19.473	21	19.472	92	19.472	-13	19.472	-34	19.472	-543	19.472	-230	19.472	-836	19.472	1023
20.094	21	20.093	92	20.093	3	20.093	31	20.093	532	20.093	65	20.093	-872	20.093	1023
20.714	21	20.713	92	20.713	0	20.713	3	20.713	62	20.713	5	20.713	-1022	20.713	1023
21.322	21	21.321	92	21.321	0	21.321	0	21.321	0	21.321	0	21.321	-1023	21.321	1023
21.929	21	21.928	92	21.928	0	21.928	0	21.928	0	21.928	0	21.928	-1023	21.928	1023
22.538	21	22.537	92	22.537	0	22.537	0	22.537	0	22.537	0	22.537	-1023	22.537	1023
23.143	21	23.142	92	23.142	-23	23.142	-26	23.142	-401	23.142	-394	23.142	-855	23.142	1023
23.751	21	23.75	92	23.75	-9	23.75	-40	23.75	-651	23.75	-148	23.75	-776	23.75	1023
24.36	26	24.359	92	24.359	-11	24.359	-43	24.359	-673	24.359	-191	24.359	-747	24.359	1023
24.968	23	24.967	92	24.967	-7	24.967	-41	24.967	-657	24.967	-123	24.967	-775	24.967	1023
25.574	21	25.573	92	25.573	-5	25.573	-40	25.573	-648	25.573	-89	25.573	-787	25.573	1023
26.197	19	26.196	92	26.196	-4	26.196	-41	26.196	-661	26.196	-64	26.196	-779	26.196	1023
26.804	21	26.803	92	26.803	-5	26.803	-46	26.803	-725	26.803	-82	26.803	-718	26.803	1023
27.413	19	27.412	92	27.412	-3	27.412	-44	27.412	-709	27.412	-48	27.412	-736	27.412	1023
28.019	19	28.018	92	28.018	-3	28.018	-44	28.018	-702	28.018	-48	28.018	-743	28.018	1023
28.625	22	28.624	92	28.624	-6	28.624	6	28.625	116	28.625	-95	28.625	-1012	28.625	1023
29.234	22	29.233	92	29.233	-46	29.233	-2	29.233	-22	29.233	-736	29.233	-711	29.233	1023
29.84	22	29.839	245	29.839	-43	29.839	-28	29.839	-350	29.839	-692	29.839	-668	29.839	1023
30.447	22	30.446	141	30.446	-14	30.446	4	30.446	74	30.446	-233	30.446	-994	30.446	1023
31.056	22	31.055	141	31.055	6	31.055	43	31.055	702	31.055	114	31.055	-736	31.055	1023
31.664	22	31.663	141	31.663	-9	31.663	-45	31.663	-713	31.663	-150	31.663	-719	31.663	1023
32.271	22	32.27	141	32.27	33	32.27	-34	32.27	-474	32.27	568	32.27	-707	32.27	1023
32.879	22	32.878	141	32.878	2	32.878	57	32.878	861	32.878	44	32.878	-551	32.878	1023
33.484	22	33.483	141	33.483	-36	33.483	134	33.483	1023	33.483	-1005	33.483	1005	33.483	1751
34.097	22	34.096	141	34.096	-13	34.096	-21	34.096	-350	34.096	-229	34.096	-934	34.096	1023
34.707	22	34.706	141	34.706	13	34.706	104
